name,address,contact_person,contact_number,email,gst
AAKAR MOTORS,"Plot no CM-8/17,NH 48 ,opp Ashadham school Vapi",,,Anil mistry,24AAJFA9904C1ZQ
PANCH MUKH FURNITURES,"Plot no 154, vibrant business Park, VAPI",Mr Mukesh Goyal,98241432220,aziz,24ABEFP3421B1ZW
Level Up Adventures LLP,Centre Bazar 3rd floor Chala Vapi,,9974999705,Vihan /Akash,24AALFL1354M1Z4
S P Enterprises,"404, Trimurti Appartment Ramazanwadi chharwada VAPI",Mr lalit vivek singh,,toofani,24KFCPS9971B1Z1
Merit Polymers pvt ltd,"370/1/2,kachigam road kachigam Daman",Roop singh ji,,,26AAOCM3634M1ZZ
Dhaval Joshi,Sopan gunjan Vapi,Dhaval bhai,9824168805,,
Bhawin Patel,gunjan opp. upasna school,Bhavin bhai,9879304952,Aziz,
Bharat bhai Tanna,umergam,Bharat bhai,9920991101,son,
National Glass & Aluminium,"shop no 1 Bilash sukhari chawl,Bodi falia VAPI",chandresh,9998791649,,24ADAPY1858K1Z6
Nirmal kumar  Das,,,7698200129,,
Jay Ma Ambe Enterprise,"Gr fl shop no 118,Nirmal chamberNr Asopalav res. char rasta VAPI",shivji chaudhry,,toofani,24AJFPC5821K1ZF
S K Solution of Interior,H.no 1173 gali 1 Lakhpat coloney Badarpur new Delhi 110044,,9311357163,,07DMUPS8456P1ZK
salim bhai,"chala , Vapi",,,,
SHREE KAAMDHENU ENTERPRISES,Shop No C-9 M-cube Buisness hub Balitha VAPI,Jatish Thakker,9925871333,Aziz,24AAZK1001C1ZS
S K Solution  site kolak chokdi,H.no 1173 gali 1 Lakhpat coloney Badarpur new Delhi 110044,,,site kolak chokdi Udwada Vapi,
Maa Mundeshwari Aluminium,211 Aradhna Corner Sadguru Estate Pardi Valsad,,9998270272,raj kumar 9904719516,24ARRPP3549B1ZO
MD.E.I.DURVESH,A-2 Haji park Sciety Taj Residency Road Akota Vadodara,Idris bhai,9998143721,,24AAUFM9313L2ZO
Mr Pranav Parekh,misty medows,Aziz N Kanchwala,,Aziz,
ANISHA SALES CORPORATION,NEAR CHAR RASTA GIDC VAPI,,958820327,RATAN LALJI,24AAEFA7182P1Z2
KUTUB BHAI,PARDI,KUTUB BHAI,9824461866,,
SHARADDHA PROJECTS,B/1004 ASHOKA RESIDENCY PLOT BO.3 SECTOR 12 KHARGHAR,,9824140090,,27AHEPD9422A1ZU
SONORUS,G- 10 NEAR RAILWAY STATION VAPI,NILESH SAHANI,6394657431,,24AHEPD9422A1ZU
MR RAJU BHAI,"1102 ,H2 PARK SOCEITY CHALA VAPI",RAJU BHAI,9377143054,KHEMRAJ BHAI,
AHURA MAZDA MNF CO PVT LTD,"Plot No 1640/3,2,1 G I D C SARIGAM",AYUB BHAI,93323381477,nitin@ahuramazdagroup.com,24AABCA8284E1ZT
HOTEL OCEAN INN,DAMAN,,,AZIZ,
DESIGN GLASS,"PLOT 8,11 PARDI IND EST BANDAR ROAD KOTLAV PARDI 396125",KUTUB BHAI,9824461866,q_glass67@gmail.com,24ABRPP3640B1ZT
MR,,,,KHEMRAJ BHAI,
HUSAIN  H&F,CHALA VAPI,,9920167672,,
SIR,"B-308 ,3RD FLOOR ABOVE GIRIRAJ HOTEL VAPI",,8347111135,PRAVIN BHAI,
M/S,VAPI,AZIZ,8128667811,AZIZ,
GIVA,"UNIT -5 EARTH EUPHORIA,NEAR L&T CIRCLE KARELLI BAUGH VADODARA",NILESH,7021145530,ANIS,
ADVACATE PRAJAPATI,"43, TULSI BANGLOW SALVAV",,9824113928,,
AMIT ENGINEERING WORKS,"PLOT 131A,DG IND PARK II DUNGRI FALIA VAPI",,,AZIZ,24AQAPT2412K1Z0
RONAK INDUSTRIES,"G2,3F1,2,3S1,2 CHIRAG UDYOG BHAVAN ,GOLDEN IND EST DABHEL DAMAN",,9586606025,KHEMRAJ,26AADFR5003K1ZC
RONAK INDUSTRIES (s),SURVAY NO 97/3 DAMAN IND EST KADAIYA NANI DAMAN,,9586606025,KHEMRAJ,26AADFR5003K1ZC
DR MANISH PATEL,SONOROS 5TH FLOOR VAPI,,9825146411,KOSAR,
K B VISION,NEAR VAISHALI CINEMA VAPI,KETAN KUMAR R BHAVSAR,9924002587,,24ABOPB8523A1Z4
SAFEHAND INTERIO PVT LTD,"A 1015,10TH FLOOR SIDDHI VINYAK TOWER, B/H CNG PUMP, MAKARBA AHMEDABAD",,8875107769,SURENDRA,24ABFCS4700A1Z0
CBC,3RD FLOOR STATION ROAD VAPI EAST,,,,
MANISH JOB TECH,VAPI,MANISH BHAI,9726239050,,
SATUMA GREEN CORP PVT LTD,VAPI,,,AZIZ,24ABOCS7241R1Z1
JAINAM MARKETING,VIBRANT PARK N H 48 VAPI,,9429164960,,
REVLON DESIGN LTD,J-3008 3RD PHASE G I D C VAPI,,,AZIZ,24AANCR2053C1ZP
GIVA SURAT,SHOP -1 A/1011 A AVADH VIESOROY SARTHANA JAKAT NAKA SURAT,NILESH BHAI,,,
ZAR MARKETPLACE PVT LTD,"PLOT 1640/3,2,1 GIDC SARIGAM BHILAD VALSAD",NAOZAR BHAI,,,24AABCZ9464H1ZY
HARVASHI BEN,"401, SAMRAJYA 3,GOKUL VIHAR TOWNSHIP",,,,
VITAL REHABES,NAGAR SHETH CHAMBER G I D C VAPI,,,AZIZ,
SHAFIQ BHAI,ABOVE KOTAK MAHINDRA BANK CHALA VAPI,SHAFIQ BHAI,9558654121,,
GIVA ATHVA SURAT,WEST FEILED MALL UNIT L.G.A,,6394657431,NILESH BHAI,
faze 3 vapi,,,,,
faze 3 dadra,,,,,
GIVA ANAND,ANAND,ANIS BHAI,7021145530,,
sunil bhai,vapi,aziz,,,
FOCUSON INTERIOR DECORATERS PVT LTD,"U N APT,H NO,150 NEAR SHIV MANDIR,SIKANDAR PUR GURUGRAM HARYANA",AZIZ,,AZIZ,06AADCF0653N1ZK
AZIZ N,NETSOYA 1ST FLOOR,CHHARWARA,,,
AZIZ KANCHWALA,VAPI,AZIZ,6355292044,AZIZ,
MIHIR SONI,"A 406, YASHVI NESTOYA CHHARWADA VAPI",MIHIR BHAI,9974085667,AZIZ,
SANJEEV BHAI,R S 04 ROYAL VILLAGE KUNTA DAMAN,SANJEEV BHAI,9624680577,RANJIT MISTRY,
MANYA ENTERPRISE,A2/102 1ST FLOOR SWASTIK SANKUL BALITHA VAPI,SANJEEV BHAI,9624680577,,24GAFPS4170A1ZX
H P,ambheti,,9825742028,,
GIVA STORE PUNE,SKY DALE UNIT 02 VITTHALVADI HIGNE KHURD PUNE 411051,NILESH SAHANI,6394657431,ANIS BHAI,7021145530.0
SHIV TRADERS,BARODA,BHAVNA BEN,9879261680,DESAI SAHEB,24AAPPU4844D1ZG
MAMLATDAR OFFICE,OPP GST BHAVAN,DESAI SAHEB,9924116897,,
SHIV TRADERS,BARODA,,,,
CHETAN BHAI,1001 H2 THE PARK CHALA VAPI,CHETAN BHAI,9924601317,,
SUBHASH BHAI,3RD FLOOR SAGA CASA CHALA VAPI,SUBHASH BHAI,9998304369,SANJAI MISTRY,
BHAVESH BHAI DOSHI,VAPI,,9820203490,,
MANHAR BHAI JADAV,NAROLI,MANHAR BHAI,9687178715,,
IMAMI LIMITED,ATHAAL,MUKESH BHAI,,,
GIVA NAVSARI,"05, SANSKRUTI ELITE, GANDEVI ROAD,NEAR NILKANTH RESIDENCY,NAVSARI CHHAPRA PART",NILESH BHAI,,,
BRITMAN INDIA P LTD,"524, ISCONEMPORIO,5TH FLR,B/S.STAR BAZAR,SETTELITE AHMEDABAD",,9624000721,,
JANA SMALL FINANCE BANK,GIRNAAR KHUSHBOO PLAZA VAPI,SMITESH,9825883082,,
SAT SAT SAI BABA CORPORATION,"plot 34, vrundavan ind park umergam sanjan road umergam",,9833818631,,24AAQSF2596H1ZP
KASHMIR SINGH BHURJI,G 32 AVADH  TUKVADA VAPI,BITTU SINGH JI,9824155931,KOSAR,9824392220.0
LEAD ENGINEERING,"102, D K CHAMBER,1ST FLOOR CHAR RASTA GIDC VAPI",BABASAHEB CHANDRABHAN GAVHANE,,KHEMRAJ JI,24AEEPG5958H1ZG
MUKESH RAMGARHIYA,SILLVASSA,,,AZIZ,
SAMARPAN GYAN SCHOOL,CHHIRI,MUKESH BHAI,,RAJU BHAI,9537590917.0
DESAI SAHEB,GST BHAVAN BALITHA,KINNER BHAI,9924116897,,
BHARAT C PPRAJAPATI,PHASE 1 GIDC VAPI,BHRAT BHAI,8866384423,RATAN LAL JI,
DREAMLAND,"9, PEARL ROW HOUSE EKTA NAGAR BHILAD",SHAKTI SINGH,8401304243,,24DKDPB9762A1Z1
SHREE R R CONSTRUCTION,"35, MRK SHOPPING CENTRE CHANOD VAPI",SUNIL R MALHOTRA,9825255234,,24ABWPM0657N2ZY
MANI LAL BHAI SAVLA,B-349 AVADH TUKVADA VAPI,,9930278772,,
LAASYA LIFESPACES,B/H VATSALYA SCHOOL MOTI DAMAN,SACHIN BHAI,7211179039,,26AAKFL0092R2ZP
Bhavik Bhai,G - 20 AVADH VAPI,BHAVIK BHAI,,AZIZ,
YOGESH BHAI THANDVI,VELLE FLORA KUNTA ROD DAMAN,YOGESH BHAI,7405549617,AZIZ,
LALU BHAI,BHILAD BANGLOW,LALU BHAI,,,
MANI LAL BHAI SAVLA,B 349 AVADH  TUKVADA VAPI,MANI LAL BHAI,9930278772,NARSHI SUTHAR,9867583642.0
LOTUS GLOBAL SCHOOL,SURVAY PLOT NO1836/1-1836/3 VATAR DAMAN,SACHIN KUMAR SINGH,9409457614,ANUP SINGH JI,9714000401.0
HARSH DESAI (ARCTCT),1004 VASUPUJYA CHALA VAPI,HARSH DESAI,8141715829,,
THE PARK F2,F2 904 CHALA VAPI,,9898185871,,
THE PARK G-1,G-1 702,,9974947570,,
UTKARSH BHAI,AVADH G - 28,UTKARSH BHAI,9998216358,,
ART POINT,GOLD COIN CHALA VAPI,ABBAS BHAI,9824550002,,
MILAN HARDWARE,"PLOT NO 37,INDUSTRIAL AREA VAPI VALSAD GUJARAT",BHARAT BHAI,8866384423,,24BAMPP5393L1Z0
gaurav bhai,F 55 ROYAL VILLAGE DAMAN,GAURAV,8866004284,,
Deputy Commisioner State Tax,Enf - Vapi,,9924116897,,
Vijay Bhai / Shailesh Bhai,varkund Daman,,9979433999,,9825291915.0
Jagdamba Enterprise,"4th Floor,block D3,flat no 407,Shivam vihar,Adarsh nagar umbergaon Valsad",,9998069293,,24BDQPP0184G1ZE
Dawoodi Bohra Jamat,Syedna M B Marg Vapi Valsad,Mohammed Gandhi,9824181487,,
RaD Design Studio,Ahmedabad,,9033257395,,
Frame and Flow,"70, Fortune Land mark Near VIA Vapi",Adnan Lokhandwala,8866359864,,
Tushar bhai,aaso palav behind high school vapi,Tushar bhai,9825512071,,
Raj Farm and Resorts,near kothar ambheti sillvassa,janab Firoz bhai,,,
Vijay Sabre Safety Pvt Ltd ( unit 3 umbergaon),"Shop no 4 , GIDC ind shed 1,289 GIDC umbergaon",,9821390005,,26AAACV4942P1ZT
Industrial Fabrication,"shed no 2321,22 J type 3rd phase GIDC vapi",yogesh  N Pandya,9825125637,Khemraj@,24ABTPP8036D1ZF
Rajhans cinema,chala vapi,Amresh bhai,9026157050,,
Cactus Profile Pvt Ltd,"B12, sector 81 Noida Gautam budh Nagar U P 201301",,8873837427,,09AACCC1011G1ZB
Ledx TechnologyPvt Ltd,malav talao road dehri umergam,anshu mali,8454837856,,
SHREE TRADERS,"24,TIRUPATI TOWER G I D C VAPI 396195",A D AGARKAR,9825129613,,24AAXFS6867Q1ZT
SAP glazing system,"B/001,anusuya chs vithara nagar, Mulund west Mumbai",miraj,9892045453,,27ABPPT6904L2ZU
Arcturus Foam Industries,"315/6, su 334/P1 Morai ind park Morai Vapi",,6358898220,,24AAUCA5392G1ZB
Fakhruddin Raj Vyara,vrandavan dhaam society kanpura Vyara,fakhri bhai,,,
Mahavir Parmar,zanda chowk bus depot Vapi,mahavir bhai,9824015958,,
Miraj Creations,"No 23,M518,519,520 NH8 opp velkar petrol pumpVerssava Village THANE",,9920249065,raju zahir,27AOKPM4227M1Z1
Miraj Creations -1,"Shop no 36 , Fortune land mark ,phase 2 GIDC VAPI",Raju zahir,9558033676,,
vijay sabre Safety Pvt Ltd ( unit  athaal sillvassa),"1st floor,plot -11,su no 46/1P D G Ind estate Athal,Sillvassa(D and NH)",Vivin,,,26AAACV4942P1ZT
Aatish Bhavsar Bhavsar Decorators,Desai wad Neel kanth banglows Vapi,Aatish bhai,,,
Defex New Matirial Pvt Ltd,"Survay No 58/old 239-1, Pardi , Dungri, Valsad",Sunil Naik,9579259119,,24AAGCD2754H1ZS
Defex,"sonorous 507, wing A",,9579259119,,
Mr Sahdev Rana,Daman,-,8320424947,-,-
Arham Enterprise,Ajit Nagar Chala Vapi,Yogesh kumar K maru,9427715215,Mehul Bhai,24AAVFA8623N3ZR
shahbuddin bhai,green leaves kabrastan road vapi,Farzan bhai,9898036785,,
Mr Vishesh Mangukiya,G I D C  Sarigam,,8238000838,,
